input,generated_text,prediction_probability,input_token_count,generated_token_count
"On 11 March, 2023 at 07 PM, my vehicle, a 2018 John Deere 3203, was involved in an accident in Roth Extension, Caseytown. The other car was a navy Caterpillar 986K. I'm clueless when it comes to cars. Can this kind of damage to the front grille, front grille be reasonably fixed, or am I looking at the car being scrapped? ", A 2018 John Deere 3203 was involved in an accident with a navy Caterpillar 986K. The front grille of the John Deere 3203 was damaged. It is unclear whether the damage can be repaired or if the car will be scrapped.,-5.4816113,297,41
"On 02 November, 2023 at 01 PM, my vehicle, a 2012 Flaman DK35SE, was involved in an accident in Debra Points, South Caleb. The other car was a lime Doosan M500-V. The impact caused damage to the exhaust system, doors of my car. "," A 2012 Flaman DK35SE was involved in an accident. The accident happened in Debra Points, South Caleb. The accident caused damage to the exhaust system and doors.",-7.704834,276,8
"On 05 July, 2023 at 04 AM, my vehicle, a 2019 Bobcat S550, was involved in an accident in Denise Parks, Michealview. The other car was a blue John Deere 5083E Limited. I'm clueless when it comes to cars. Can this kind of damage to the frame/chassis be reasonably fixed, or am I looking at the car being scrapped? My driver immediately contacted emergency services and received medical attention at the scene.. I am filing a claim with my insurance company to replace my car."," A 2019 Bobcat S550 was involved in an accident with a blue John Deere 5083E Limited. The accident occurred in Denise Parks, Michealview. The car's frame/chassis is damaged.",-6.0365963,331,20
"On 28 September, 2023 at 04 PM, my vehicle, a 2000 New Holland BB930A Packer Cutter, was involved in an accident in Ashley Course, Lopezmouth. The other car was a lime Kubota M8200 Narrow CAB. The impact caused damage to the rear bumper, doors of my car. I am also providing witness statements and photographs of the damaged vehicle."," A 2000 New Holland BB930A Packer Cutter was involved in an accident with a lime Kubota M8200 Narrow CAB. The accident happened in Ashley Course, Lopezmouth. The accident caused damage to the rear bumper and doors of the car.",-3.434033,292,73
"I was driving my 2012 John Deere 903JH down Monique Forges, Lake Angelaside when I was rammed by a silver Komatsu PC290LC-6. The accident happened at approximately 05 PM.My 2012 John Deere 903JH was parked roadside at Monique Forges, Lake Angelaside when it was struck by a silver Komatsu PC290LC-6. The accident occurred at around 05 PM. The impact caused damage to the front bumper, side mirrors of my car. My driver immediately contacted emergency services and received medical attention at the scene.", A 2012 John Deere 903JH was hit by a silver Komatsu PC290LC-6. The car was parked by the roadside. Damage on the front bumper and side mirrors.,-2.8155515,336,50
"I was driving my 2001 Welger V 160 down Erin Island, Martinezberg when I was rammed by a black Challenger 670. The accident happened at approximately 08 PM.My 2001 Welger V 160 was parked roadside at Erin Island, Martinezberg when it was struck by a black Challenger 670. The accident occurred at around 08 PM. This has caused extensive damage to fenders. ", A 2001 Welger V 160 was hit by a black Challenger 670. The accident happened at approximately 08 PM. The Welger V 160 was parked roadside when it was struck.,-2.1230726,296,41
"On 13 January, 2023 at 03 PM, my vehicle, a 2015 Terex PT70, was involved in an accident in Green Spur, Jacobside. The other car was a fuchsia AGCO 9412-20. The impact caused damage to the frame/chassis, headlights and taillights of my car. I am filing a claim with my insurance company to replace my car."," A 2015 Terex PT70 was involved in an accident with a fuchsia AGCO 9412-20. The accident happened in Green Spur, Jacobside. Damage to the frame/chassis, headlights and taillights.",-5.3098183,298,9
"On 04 September, 2023 at 06 AM, my vehicle, a 2014 Caterpillar 323F L, was involved in an accident in Chen Lodge, West Roger. The other car was a lime Ezee-On 5524-36-13-6. My vehicle sustained damage to the rear bumper, side mirrors. "," A 2014 Caterpillar 323F L was involved in an accident. The accident happened in Chen Lodge, West Roger. Damage to the rear bumper and side mirrors.",-2.6299348,275,69
"On 28 September, 2023 at 11 PM, my vehicle, a 2010 Ranger H67G-II, was involved in an accident in Eric Stream, Lake Josephberg. The other car was a yellow Ingersoll Rand PF6110. The impact caused damage to the suspension, fenders of my car. "," A 2010 Ranger H67G-II was involved in an accident with a yellow Ingersoll Rand PF6110. The accident happened in Eric Stream, Lake Josephberg. Damage to the suspension and fenders.",-3.7364988,276,70
"I was driving my 2018 AGCO GT55A down Lyons Causeway, Port Danielle when I was rammed by a blue Burch 220-2124. The accident happened at approximately 01 PM.My 2018 AGCO GT55A was parked roadside at Lyons Causeway, Port Danielle when it was struck by a blue Burch 220-2124. The accident occurred at around 01 PM. I'm clueless when it comes to cars. Can this kind of damage to the engine be reasonably fixed, or am I looking at the car being scrapped? I am also providing witness statements and photographs of the damaged vehicle.. I immediately called your agent and submitted the claim form providing the accident details, police report, and medical documentation.", A 2018 AGCO GT55A was hit by a blue Burch 220-2124. The car was parked roadside when it was hit. Damage to the engine.,-2.176649,365,45
